,설치년도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),충전기ID,충전소ID,위도,경도,법정동코드,법정동명,중심위도,중심경도,충전소중심지거리(급속),인근충전소위도(급속),인근충전소경도(급속),인근충전소거리(급속)
1678,2022,서초구,서울특별시 서초구 남부순환로 2364,서울시 서초구 국립국악원,교육문화시설,공연장,급속,DC콤보,2,PI200959,37.477718808,127.00981846,11650108,서초동,37.48837476066834,127.01680535750033,1334.383747165231,37.485409049,126.9180954,8138.566006432016
1679,2022,관악구,서울특별시 관악구 조원로 142,서울시 관악구 신사동해오름문고,공공시설,주민센터,급속,DC콤보,1,PI200960,37.485409049,126.9180954,11620102,신림동,37.46319952201074,126.93580773340327,2920.74494458198,37.489529886,126.9481596,2691.9000355722637
1680,2022,관악구,서울특별시 관악구 조원로 142,서울시 관악구 신사동해오름문고,공공시설,주민센터,급속,DC콤보,2,PI200960,37.485409049,126.9180954,11620102,신림동,37.46319952201074,126.93580773340327,2920.74494458198,37.489529886,126.9481596,2691.9000355722637
1681,2022,관악구,서울특별시 관악구 구암길 38,서울시 관악구 성현동주민센터,공공시설,주민센터,급속,DC콤보,1,PI200961,37.489529886,126.9481596,11620101,봉천동,37.47797496610814,126.9534874765543,1366.2758062680796,37.575727,126.8899726,10871.593093387542
1682,2022,관악구,서울특별시 관악구 구암길 38,서울시 관악구 성현동주민센터,공공시설,주민센터,급속,DC콤보,2,PI200961,37.489529886,126.9481596,11620101,봉천동,37.47797496610814,126.9534874765543,1366.2758062680796,37.575727,126.8899726,10871.593093387542
1683,2022,마포구,서울특별시 마포구 매봉산로 31,서울시 마포구 에스플렉스센터,공동주택시설,사업장(사옥),급속,DC콤보,9,PI200963,37.575727,126.8899726,11440127,상암동,37.57072003647314,126.87988623319272,1050.1120904366117,37.46117663,127.10332264,22722.21498790467
1684,2022,마포구,서울특별시 마포구 매봉산로 31,서울시 마포구 에스플렉스센터,공동주택시설,사업장(사옥),급속,DC콤보,10,PI200963,37.575727,126.8899726,11440127,상암동,37.57072003647314,126.87988623319272,1050.1120904366117,37.46117663,127.10332264,22722.21498790467
1685,2022,강남구,서울특별시 강남구 헌릉로590길 60,서울시 강남구 행복요양병원,근린생활시설,병원,급속,DC콤보,2,PI200964,37.46117663,127.10332264,11680111,세곡동,37.46436944623918,127.10459678585212,371.85577561586376,37.540523224,127.13408151,9230.758006692784
1686,2022,강남구,서울특별시 강남구 헌릉로590길 60,서울시 강남구 행복요양병원,근린생활시설,병원,급속,DC콤보,3,PI200964,37.46117663,127.10332264,11680111,세곡동,37.46436944623918,127.10459678585212,371.85577561586376,37.540523224,127.13408151,9230.758006692784
1687,2022,강동구,서울특별시 강동구 성안로31마길 1,서울시 강동구 천호3동제2공영주차장,주차시설,공영주차장,급속,DC콤보,3,PI200965,37.540523224,127.13408151,11740109,천호동,37.544376009316714,127.12763147740576,712.5865607532417,37.479513099,126.88751177,22782.187131824212
1688,2022,강동구,서울특별시 강동구 성안로31마길 1,서울시 강동구 천호3동제2공영주차장,주차시설,공영주차장,급속,DC콤보,4,PI200965,37.540523224,127.13408151,11740109,천호동,37.544376009316714,127.12763147740576,712.5865607532417,37.479513099,126.88751177,22782.187131824212
1689,2023,금천구,서울특별시 금천구 디지털로9길 32,서울시 금천구 갑을그레이트밸리,공동주택시설,사업장(사옥),급속,DC콤보,1,PI200966,37.479513099,126.88751177,11545101,가산동,37.47668465005588,126.8837782478907,455.63226012716973,37.626670626,127.05471258,22022.805877193157
1690,2023,금천구,서울특별시 금천구 디지털로9길 32,서울시 금천구 갑을그레이트밸리,공동주택시설,사업장(사옥),급속,DC콤보,2,PI200966,37.479513099,126.88751177,11545101,가산동,37.47668465005588,126.8837782478907,455.63226012716973,37.626670626,127.05471258,22022.805877193157
1691,2022,노원구,서울특별시 노원구 월계로 298,서울시 노원구 월계구민체육센터,공공시설,지자체시설,급속,DC콤보,1,PI200967,37.626670626,127.05471258,11350102,월계동,37.62824386541814,127.05674102546848,250.10493975568875,37.513871074,127.10636439,13343.290841784185
1692,2022,노원구,서울특별시 노원구 월계로 298,서울시 노원구 월계구민체육센터,공공시설,지자체시설,급속,DC콤보,2,PI200967,37.626670626,127.05471258,11350102,월계동,37.62824386541814,127.05674102546848,250.10493975568875,37.513871074,127.10636439,13343.290841784185
1693,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,21,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
