자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
강북구,번3동,155,0,1370,4,4,592,164,212,2040,4541,강북구,1130560800,번3동,20190101,,강북구,번3동,1130510200,번동,20190101,
강북구,삼각산동,0,0,2749,28,6,570,157,739,5259,9508,강북구,1130557500,삼각산동,20080630,,강북구,삼각산동,1130510100,미아동,20080630,
강북구,삼양동,1,0,2041,10,6,546,95,300,2845,5844,강북구,1130553400,삼양동,20080630,,강북구,삼양동,1130510100,미아동,20080630,
강북구,송중동,1,0,2306,12,3,590,81,402,3604,6999,강북구,1130554500,송중동,20080630,,강북구,송중동,1130510100,미아동,20080630,
강북구,송천동,0,0,2080,3,4,485,57,257,2768,5654,강북구,1130555500,송천동,20080630,,강북구,송천동,1130510100,미아동,20080630,
강북구,수유1동,218,0,1893,4,1,603,96,220,2407,5442,강북구,1130561500,수유1동,20190101,,강북구,수유1동,1130510300,수유동,20190101,
강북구,수유2동,0,0,1805,4,2,461,69,267,2667,5275,강북구,1130562500,수유2동,20190101,,강북구,수유2동,1130510300,수유동,20190101,
강북구,수유3동,9,0,1778,2,3,455,62,218,2437,4964,강북구,1130563500,수유3동,20190101,,강북구,수유3동,1130510300,수유동,20190101,
강북구,우이동,166,0,2026,7,2,506,84,249,2808,5848,강북구,1130564500,우이동,20080630,,강북구,우이동,1130510300,수유동,20080630,
강북구,인수동,1,0,2614,12,4,783,131,318,3548,7411,강북구,1130566000,인수동,20080630,,강북구,인수동,1130510300,수유동,20080630,
강서구,가양1동,11,0,8241,42,62,1653,734,2039,11490,24272,강서구,1150060300,가양제1동,19930401,,강서구,가양제1동,1150010400,가양동,19930401,
강서구,가양2동,0,0,1121,3,4,379,45,245,2120,3917,강서구,1150060400,가양제2동,19930401,,강서구,가양제2동,1150010400,가양동,19930401,
강서구,가양3동,1,0,1776,3,7,533,103,325,2827,5575,강서구,1150060500,가양제3동,19930401,,강서구,가양제3동,1150010100,염창동,19930401,20140401
강서구,공항동,6,0,4191,31,8,865,308,594,5163,11166,강서구,1150062000,공항동,19880423,,강서구,공항동,1150010500,마곡동,20140514,
강서구,등촌1동,1,0,2978,19,8,729,196,721,4981,9633,강서구,1150052000,등촌제1동,19880423,,강서구,등촌제1동,1150010200,등촌동,19880423,
강서구,등촌2동,1,0,2111,6,6,488,89,482,3734,6917,강서구,1150053000,등촌제2동,19880423,,강서구,등촌제2동,1150010200,등촌동,19880423,
강서구,등촌3동,2,0,3273,12,10,805,220,735,5998,11055,강서구,1150053500,등촌제3동,19951201,,강서구,등촌제3동,1150010200,등촌동,19951201,
강서구,발산1동,64,0,4780,105,35,1448,282,958,6363,14035,강서구,1150061100,발산제1동,19890901,,강서구,발산제1동,1150010500,마곡동,20140514,
강서구,방화1동,40,0,4887,27,30,1254,279,1049,7491,15057,강서구,1150063000,방화제1동,19880423,,강서구,방화제1동,1150010500,마곡동,20140514,
강서구,방화2동,144,0,2877,12,14,2048,327,394,3679,9495,강서구,1150064000,방화제2동,19880423,,강서구,방화제2동,1150010900,방화동,19880423,
강서구,방화3동,32,0,2105,10,5,735,86,441,3798,7212,강서구,1150064100,방화제3동,19941101,,강서구,방화제3동,1150010900,방화동,19941101,
강서구,염창동,0,0,4588,28,19,1002,316,1330,8329,15612,강서구,1150051000,염창동,19880423,,강서구,염창동,1150010100,염창동,19880423,
강서구,우장산동,1,0,4129,32,10,853,196,1189,8091,14501,강서구,1150061500,우장산동,20080825,,강서구,우장산동,1150010300,화곡동,20080825,
강서구,화곡1동,2,0,5305,30,13,1572,154,746,7840,15662,강서구,1150054000,화곡제1동,19880423,,강서구,화곡제1동,1150010300,화곡동,19880423,
강서구,화곡2동,0,0,1665,10,3,410,57,210,2411,4766,강서구,1150055000,화곡제2동,19880423,,강서구,화곡제2동,1150010300,화곡동,19880423,
강서구,화곡3동,0,0,1829,15,10,395,62,437,3576,6324,강서구,1150056000,화곡제3동,19880423,,강서구,화곡제3동,1150010300,화곡동,19880423,
강서구,화곡4동,1,0,2027,14,6,521,76,264,2870,5779,강서구,1150057000,화곡제4동,19880423,,강서구,화곡제4동,1150010300,화곡동,19880423,
강서구,화곡6동,4,0,2418,21,4,698,93,516,4505,8259,강서구,1150059100,화곡제6동,19910907,,강서구,화곡제6동,1150010300,화곡동,19910907,
강서구,화곡8동,4,0,1930,10,4,467,81,304,3186,5986,강서구,1150059300,화곡제8동,19910907,,강서구,화곡제8동,1150010300,화곡동,19910907,
강서구,화곡본동,0,0,2980,11,7,791,90,440,4808,9127,강서구,1150059000,화곡본동,19880423,,강서구,화곡본동,1150010300,화곡동,19880423,
관악구,낙성대동,17,0,1155,12,2,349,69,283,1945,3832,관악구,1162058500,낙성대동,20080901,,관악구,낙성대동,1162010100,봉천동,20080901,
관악구,난곡동,1,0,2251,7,2,520,66,324,3025,6196,관악구,1162077500,난곡동,20080901,,관악구,난곡동,1162010200,신림동,20080901,
관악구,난향동,1,0,1551,8,7,352,76,338,2440,4773,관악구,1162071500,난향동,20080901,,관악구,난향동,1162010200,신림동,20080901,
관악구,남현동,0,0,1489,4,5,309,70,386,2764,5027,관악구,1162063000,남현동,19880423,,관악구,남현동,1162010300,남현동,19880423,
관악구,대학동,133,0,1412,6,3,426,138,290,2655,5063,관악구,1162073500,대학동,20080901,,관악구,대학동,1162010200,신림동,20080901,
관악구,미성동,0,0,2850,14,6,629,103,498,4168,8268,관악구,1162076500,미성동,20080901,,관악구,미성동,1162010200,신림동,20080901,
관악구,보라매동,8,0,2175,6,2,572,138,336,3152,6389,관악구,1162052500,보라매동,20080901,,관악구,보라매동,1162010100,봉천동,20080901,
관악구,삼성동,0,0,1844,12,7,562,72,340,2806,5643,관악구,1162074500,삼성동,20080901,,관악구,삼성동,1162010200,신림동,20080901,
관악구,서림동,0,0,1594,3,2,720,98,278,2794,5489,관악구,1162066500,서림동,20080901,,관악구,서림동,1162010200,신림동,20080901,
관악구,서원동,9,0,1662,14,1,441,84,248,2522,4981,관악구,1162064500,서원동,20080901,,관악구,서원동,1162010200,신림동,20080901,
관악구,성현동,1,0,2496,21,7,541,128,640,4583,8417,관악구,1162056500,성현동,20080901,,관악구,성현동,1162010100,봉천동,20080901,
관악구,신림동,26,0,1441,5,3,493,111,225,2254,4558,관악구,1162069500,신림동,20080901,,관악구,신림동,1162010200,신림동,20080901,
관악구,신사동,0,0,1732,13,3,334,51,240,2534,4907,은평구,1138063000,신사동,19880423,19910806,은평구,신사동,1138010900,신사동,19880423,19910806
관악구,신원동,0,0,1075,0,1,279,38,183,1726,3302,관악구,1162065500,신원동,20080901,,관악구,신원동,1162010200,신림동,20080901,
관악구,은천동,4,0,2659,14,4,726,119,589,4477,8592,관악구,1162060500,은천동,20080901,,관악구,은천동,1162010100,봉천동,20080901,
